Week,Day,Example Meals,Calories/Macros,Completed,Actuals,Comments
1,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2600 kcal | P180 C400 F70,,,Balanced macro day.
1,Wed,"Toast + PB, Tuna + rice, Beef + potato",2700 kcal | P180 C450 F70,,,Pre-tempo carb load.
1,Fri,"Smoothie, Chicken + pasta, Fish + rice",2700 kcal | P180 C480 F65,,,High-energy day.
1,Sun,"Oats + honey, Pasta, Salmon dinner",2800 kcal | P180 C500 F70,,,Long-run fueling.
2,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2600 kcal | P180 C400 F70,,,Balanced macro day.
2,Wed,"Toast + PB, Tuna + rice, Beef + potato",2700 kcal | P180 C450 F70,,,Pre-tempo carb load.
2,Fri,"Smoothie, Chicken + pasta, Fish + rice",2700 kcal | P180 C480 F65,,,High-energy day.
2,Sun,"Oats + honey, Pasta, Salmon dinner",2800 kcal | P180 C500 F70,,,Long-run fueling.
3,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2600 kcal | P180 C400 F70,,,Balanced macro day.
3,Wed,"Toast + PB, Tuna + rice, Beef + potato",2700 kcal | P180 C450 F70,,,Pre-tempo carb load.
3,Fri,"Smoothie, Chicken + pasta, Fish + rice",2700 kcal | P180 C480 F65,,,High-energy day.
3,Sun,"Oats + honey, Pasta, Salmon dinner",2800 kcal | P180 C500 F70,,,Long-run fueling.
4,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2600 kcal | P180 C400 F70,,,Balanced macro day.
4,Wed,"Toast + PB, Tuna + rice, Beef + potato",2700 kcal | P180 C450 F70,,,Pre-tempo carb load.
4,Fri,"Smoothie, Chicken + pasta, Fish + rice",2700 kcal | P180 C480 F65,,,High-energy day.
4,Sun,"Oats + honey, Pasta, Salmon dinner",2800 kcal | P180 C500 F70,,,Long-run fueling.
5,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2700 kcal | P180 C480 F65,,,Balanced macro day.
5,Wed,"Toast + PB, Tuna + rice, Beef + potato",2800 kcal | P180 C530 F65,,,Pre-tempo carb load.
5,Fri,"Smoothie, Chicken + pasta, Fish + rice",2800 kcal | P180 C560 F60,,,High-energy day.
5,Sun,"Oats + honey, Pasta, Salmon dinner",2900 kcal | P180 C580 F65,,,Long-run fueling.
6,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2700 kcal | P180 C480 F65,,,Balanced macro day.
6,Wed,"Toast + PB, Tuna + rice, Beef + potato",2800 kcal | P180 C530 F65,,,Pre-tempo carb load.
6,Fri,"Smoothie, Chicken + pasta, Fish + rice",2800 kcal | P180 C560 F60,,,High-energy day.
6,Sun,"Oats + honey, Pasta, Salmon dinner",2900 kcal | P180 C580 F65,,,Long-run fueling.
7,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2700 kcal | P180 C480 F65,,,Balanced macro day.
7,Wed,"Toast + PB, Tuna + rice, Beef + potato",2800 kcal | P180 C530 F65,,,Pre-tempo carb load.
7,Fri,"Smoothie, Chicken + pasta, Fish + rice",2800 kcal | P180 C560 F60,,,High-energy day.
7,Sun,"Oats + honey, Pasta, Salmon dinner",2900 kcal | P180 C580 F65,,,Long-run fueling.
8,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2700 kcal | P180 C480 F65,,,Balanced macro day.
8,Wed,"Toast + PB, Tuna + rice, Beef + potato",2800 kcal | P180 C530 F65,,,Pre-tempo carb load.
8,Fri,"Smoothie, Chicken + pasta, Fish + rice",2800 kcal | P180 C560 F60,,,High-energy day.
8,Sun,"Oats + honey, Pasta, Salmon dinner",2900 kcal | P180 C580 F65,,,Long-run fueling.
9,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2800 kcal | P180 C500 F70,,,Balanced macro day.
9,Wed,"Toast + PB, Tuna + rice, Beef + potato",2900 kcal | P180 C550 F70,,,Pre-tempo carb load.
9,Fri,"Smoothie, Chicken + pasta, Fish + rice",2900 kcal | P180 C580 F65,,,High-energy day.
9,Sun,"Oats + honey, Pasta, Salmon dinner",3000 kcal | P180 C600 F70,,,Long-run fueling.
10,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2800 kcal | P180 C500 F70,,,Balanced macro day.
10,Wed,"Toast + PB, Tuna + rice, Beef + potato",2900 kcal | P180 C550 F70,,,Pre-tempo carb load.
10,Fri,"Smoothie, Chicken + pasta, Fish + rice",2900 kcal | P180 C580 F65,,,High-energy day.
10,Sun,"Oats + honey, Pasta, Salmon dinner",3000 kcal | P180 C600 F70,,,Long-run fueling.
11,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2800 kcal | P180 C500 F70,,,Balanced macro day.
11,Wed,"Toast + PB, Tuna + rice, Beef + potato",2900 kcal | P180 C550 F70,,,Pre-tempo carb load.
11,Fri,"Smoothie, Chicken + pasta, Fish + rice",2900 kcal | P180 C580 F65,,,High-energy day.
11,Sun,"Oats + honey, Pasta, Salmon dinner",3000 kcal | P180 C600 F70,,,Long-run fueling.
12,Mon,"Oats + banana, Chicken + rice, Fish + veggies",2800 kcal | P180 C500 F70,,,Balanced macro day.
12,Wed,"Toast + PB, Tuna + rice, Beef + potato",2900 kcal | P180 C550 F70,,,Pre-tempo carb load.
12,Fri,"Smoothie, Chicken + pasta, Fish + rice",2900 kcal | P180 C580 F65,,,High-energy day.
12,Sun,"Oats + honey, Pasta, Salmon dinner",3000 kcal | P180 C600 F70,,,Long-run fueling.
